CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,58,29,4
2,Male,33,43,18
3,Male,61,109,70
4,Male,55,69,5
5,Male,23,42,30
6,Female,53,40,92
7,Female,32,72,76
8,Male,69,126,1
9,Female,62,69,44
10,Female,27,42,98
11,Male,24,26,49
12,Female,40,123,45
13,Female,69,20,94
14,Male,52,30,49
15,Female,53,52,81
16,Male,54,39,91
17,Female,20,99,30
18,Male,23,124,30
19,Female,42,50,59
20,Male,28,62,46
21,Male,60,49,90
22,Male,56,96,22
23,Female,28,74,49
24,Male,58,103,72
25,Male,61,56,99
26,Female,32,120,5
27,Male,43,49,9
28,Female,54,127,92
29,Female,31,98,64
30,Female,59,73,19
31,Female,26,46,96
32,Female,65,89,55
33,Female,41,43,18
34,Male,23,111,7
35,Female,27,95,21
36,Female,56,23,50
37,Female,56,74,68
38,Male,53,125,2
39,Female,61,128,69
40,Male,67,97,44
41,Female,36,70,21
42,Female,18,137,93
43,Male,50,112,23
44,Male,58,53,82
45,Male,27,62,98
46,Male,52,137,100
47,Male,56,56,63
48,Female,25,133,47
49,Male,33,22,31
50,Male,23,108,63
51,Male,66,83,99
52,Male,26,99,61
53,Female,34,82,78
54,Male,31,133,70
55,Female,63,54,52
56,Female,46,130,67
57,Male,25,46,29
58,Male,39,17,76
59,Male,55,43,1
60,Male,63,95,8
61,Female,22,130,5
62,Female,22,80,31
63,Male,60,77,28
64,Female,64,134,74
65,Female,33,115,61
66,Female,30,27,13
67,Female,40,69,53
68,Male,64,21,87
69,Female,21,66,94
70,Male,69,125,14
71,Female,30,39,69
72,Female,26,69,24
73,Female,47,46,10
74,Male,69,125,71
75,Male,21,98,70
76,Male,23,133,97
77,Female,28,67,63
78,Male,31,125,52
79,Female,28,63,1
80,Female,34,133,59
81,Female,45,104,94
82,Male,27,39,38
83,Male,21,89,95
84,Male,65,55,8
85,Male,55,76,65
86,Male,21,137,66
87,Male,29,23,77
88,Female,61,125,31
89,Male,25,135,73
90,Male,55,91,6
91,Female,44,99,75
92,Female,34,41,86
93,Male,33,48,51
94,Female,60,97,39
95,Male,38,133,97
96,Male,18,73,80
97,Female,22,83,28
98,Male,26,134,45
99,Male,33,62,37
100,Female,46,121,70
101,Male,57,140,84
102,Female,60,119,71
103,Female,60,28,18
104,Male,25,128,14
105,Male,35,51,78
106,Female,63,58,27
107,Male,50,77,33
108,Female,23,96,55
109,Male,20,15,43
110,Male,58,140,34
111,Female,65,71,71
112,Male,53,16,15
113,Male,62,130,20
114,Male,41,89,71
115,Female,45,31,6
116,Female,41,130,6
117,Male,31,102,32
118,Female,40,114,72
119,Male,57,110,20
120,Female,28,139,23
121,Female,19,37,95
122,Male,68,134,53
123,Male,35,35,90
124,Female,42,126,5
125,Female,32,40,59
126,Male,37,120,30
127,Female,19,99,25
128,Female,39,50,9
129,Female,40,97,66
130,Female,61,140,69
131,Male,19,29,34
132,Male,55,138,34
133,Female,24,91,56
134,Female,64,115,41
135,Male,56,140,66
136,Male,42,130,74
137,Female,34,20,91
138,Male,18,81,69
139,Female,41,70,9
140,Male,57,55,85
141,Female,64,130,39
142,Female,60,67,42
143,Male,62,52,71
144,Female,30,68,86
145,Female,61,110,23
146,Female,43,85,1
147,Female,36,41,56
148,Male,47,71,57
149,Male,50,75,95
150,Female,60,25,37
151,Male,23,119,97
152,Male,61,54,29
153,Male,27,18,6
154,Male,48,93,99
155,Male,47,68,81
156,Female,63,104,50
157,Male,43,46,19
158,Male,66,125,99
159,Male,67,69,29
160,Female,69,137,90
161,Male,21,86,32
162,Female,47,32,60
163,Female,66,129,57
164,Female,53,72,21
165,Male,46,48,97
166,Female,58,50,99
167,Female,58,45,36
168,Male,22,106,37
169,Male,35,57,41
170,Female,26,34,30
171,Male,62,34,91
172,Female,22,68,53
173,Male,52,74,54
174,Female,31,121,54
175,Male,67,89,90
176,Female,66,88,49
177,Female,18,135,46
178,Male,66,64,54
179,Female,49,43,35
180,Female,49,18,50
181,Male,60,101,52
182,Male,47,132,17
183,Male,43,90,73
184,Male,23,97,55
185,Female,47,38,7
186,Female,42,56,28
187,Female,38,58,98
188,Female,35,111,54
189,Male,23,75,3
190,Male,40,43,84
191,Male,67,137,84
192,Male,66,18,32
193,Male,19,94,20
194,Male,26,75,86
195,Female,54,136,28
196,Female,62,47,99
197,Male,28,92,78
198,Female,67,119,21
199,Female,24,89,4
200,Female,54,101,49
